name_c,incorporated_date_c,total_funding_c,last_valuation_c,last_round_size_c,revenue_c,date_of_last_round,fy_end,revenue_growth,EBIT_c,employee_growth_6,employee_growth_12,num_founders,num_funding_rounds,num_shareholders,min_share,median_share,max_share,category,industry
MTI1MjQxM1c=,2017,1000.0,,,5000000.0,-,21-Dec,171%,1000000.0,3%,13%,1.0,0,2.0,50.0,50.0,50.0,"Advertising,Digital Media",Advertising
MTQ2MDA3N1g=,2022,,,,,-,-,-,,-46%,-30%,,0,,,,,"Marketing,Content Creators",Advertising
MjAxMDE4OTc1Rw==,2010,400000.0,,,,-,-,-,,-,-,3.0,0,,,,,"Advertising,Apps",Advertising
MTIyNjA3N1A=,2017,60000.0,,,600000.0,-,21-Dec,157%,-200000.0,-8%,-8%,2.0,0,11.0,0.29,1.43,35.93,Advertising,Advertising
MTIyMDEyN1U=,2017,20000.0,,,4000.0,-,20-Feb,-,-80000.0,-50%,-67%,1.0,0,1.0,100.0,100.0,100.0,"Media & Entertainment,Advertising",Advertising
MTA4NzI5MFY=,2014,1.0,,,,-,18-Dec,-,-700.0,5%,-,2.0,0,2.0,50.0,50.0,50.0,"Fashion,Product Design",Advertising
OTYwMTI0RA==,2011,30000.0,,,700000.0,-,21-Dec,-25%,100000.0,-,-33%,1.0,0,2.0,20.0,50.0,80.0,"Apps,Digital Marketing,Social Media Management",Advertising
MTA4NjcxMUE=,2014,60000.0,,,500000.0,-,21-Mar,-52%,40000.0,29%,-,1.0,0,2.0,20.0,50.0,80.0,"Marketing,Advertising,Digital Marketing",Advertising
MTE4NDc5MFQ=,2016,400000.0,6000000.0,100000.0,30000.0,19-May,21-Jun,-47%,-40000.0,-25%,-25%,1.0,1,23.0,0.21,0.5,28.95,"Advertising,Apps,Mobile Advertising",Advertising
MTA5NzYyNVY=,2014,5000.0,,,400000.0,-,21-May,203%,-50000.0,-,-,2.0,0,2.0,0.01,50.005,100.0,Advertising,Advertising
MTA0OTMwM0Q=,2013,300000.0,,,100000.0,-,19-Dec,-,-50000.0,-,-,3.0,0,7.0,1.0,2.0,51.0,"Marketing,Advertising,Mobile Advertising",Advertising
MTQzMTk0OUg=,2021,,,,,-,-,-,,-33%,-33%,,0,,,,,"Digital Marketing,Data",Advertising
MTM0NzE0MUQ=,2019,50000.0,,,30000.0,-,20-Dec,-,-30000.0,-,-,1.0,0,3.0,18.0,31.0,51.0,"Marketing,Training",Advertising
MTQwNDMyNkE=,2021,50000.0,,,80000.0,-,21-Sep,-,-50000.0,17%,-,2.0,0,3.0,20.0,20.0,60.0,"Digital Marketing,Enterprise Solutions",Advertising
MjAxNTQzNzA2Sw==,2015,700000.0,,,,-,-,-,,-15%,-32%,1.0,0,2.0,40.0,50.0,60.0,Marketing,Advertising
MTE4NzcwNlQ=,2016,20000.0,,,900000.0,-,21-Jun,23%,200000.0,-,-,,0,4.0,1.0,27.15,44.7,Digital Marketing,Advertising
OTc1OTM0RA==,2012,40000.0,,,100000.0,-,19-Dec,-,-100000.0,-,17%,3.0,0,3.0,10.73,28.5,60.78,"Publishing,News,Social News",Advertising
OTUzMTE2VA==,2011,50000.0,,,70000.0,-,20-Jun,-57%,-8000.0,-,-,1.0,0,9.0,0.24,0.89,73.92,"Advertising,Ad Network",Advertising
OTAwNTU4SA==,2010,90000.0,,,,-,20-Feb,-,-40000.0,-,-,1.0,0,2.0,45.0,50.0,55.0,"Transportation,Advertising",Advertising
NTE2MDQ1Vg==,2000,70000.0,,,600000.0,-,19-Dec,-,-7000.0,-,-,1.0,0,3.0,2.0,47.0,51.0,"Digital Media,Internet,Web Design",Advertising
MTIyNDAxOUE=,2017,200000.0,,,50000.0,-,19-Aug,436%,-80000.0,-,-,,0,6.0,1.47,13.19,34.57,Marketing,Advertising
NjA2NDYwRA==,2003,20000.0,,,300000.0,-,21-Apr,-13%,30000.0,-,-,1.0,0,2.0,24.98,50.0,75.02,"Loyalty Programs,Rewards,Digital Signage",Advertising
MTE3NzY0M00=,2016,70000.0,,,500000.0,-,21-Mar,87%,30000.0,-6%,-,3.0,0,3.0,10.0,20.0,70.0,"Advertising,Content Marketing",Advertising
MTMwNTY3OUQ=,2018,1.0,,,,-,20-Mar,-,-2000.0,-,-,,0,2.0,50.0,50.0,50.0,Marketing,Advertising
MTE5MzIzNUs=,2016,1.0,,,,-,19-Jun,-,-8000.0,-,-,1.0,0,2.0,50.0,50.0,50.0,Advertising,Advertising
MTEwNTU0NkQ=,2014,1000.0,,,40000.0,-,19-Dec,-,3000.0,-,-,1.0,0,2.0,50.0,50.0,50.0,"Digital Marketing,Content Marketing",Advertising
MTEwOTA0NVY=,2014,3000000.0,60000000.0,200000.0,700000.0,21-Feb,20-Dec,113%,-2000000.0,-,-,3.0,3,18.0,0.05,2.785,48.71,"Fashion,Market Research",Advertising
NzY2MjM3VQ==,2007,20000.0,,,100000.0,-,22-Mar,42%,8000.0,14%,-,,0,2.0,0.58,50.0,99.42,"Advertising,Internet,Digital Marketing",Advertising
MTI5MTk5N0g=,2018,2000.0,,,,-,19-Dec,-,-1000.0,-,20%,1.0,0,1.0,100.0,100.0,100.0,"Advertising,Digital Marketing,Email Marketing,Database",Advertising
MTI3NjQ4N1Y=,2018,1.0,,,200000.0,-,20-Mar,-,40000.0,-,-,2.0,0,2.0,49.0,50.0,51.0,"Digital,Advertising",Advertising
MTIwNTE1Nks=,2016,10000.0,,,200000.0,-,21-Dec,278%,100000.0,-,-,2.0,0,1.0,100.0,100.0,100.0,"Marketing,Advertising,Social Media Advertising",Advertising
MTI3MjkxOFg=,2018,100000.0,,,30000.0,-,19-Mar,-,-20000.0,-,33%,1.0,0,5.0,2.0,26.5,30.0,Advertising,Advertising
MTMxOTg2N0s=,2019,1000.0,,,400000.0,-,20-Aug,-,50000.0,-,25%,2.0,0,2.0,20.0,50.0,80.0,"Marketing,Advertising,Event Management",Advertising
MTMwODcxOVg=,2018,1.0,,,,-,-,-,,13%,29%,1.0,0,2.0,0.99,50.0,99.01,"Marketing,Augmented Reality (Ar)",Advertising
MTM3NDUxMEg=,2023,20000.0,,,,-,-,-,,-9%,-,1.0,0,,,,,"Customer Service,Digital Marketing,Social Media Marketing",Advertising
MTM3MDY1N1U=,2023,90000.0,,,200000.0,-,21-Jun,-,20000.0,-14%,-10%,1.0,0,1.0,100.0,100.0,100.0,"Social Media Marketing,Data,Influencers",Advertising
MTIwNTYyNFg=,2016,1000.0,,,,-,17-Dec,-,90000.0,-,-,2.0,0,3.0,30.0,35.0,35.0,"Education,Online Portals,Children",Advertising
MTM1NTAwMUE=,2019,1.0,,,10000.0,-,20-Dec,-,2000.0,-,-,1.0,0,1.0,100.0,100.0,100.0,"Marketing,Web Design",Advertising
MTI2NzgxMUE=,2018,200000.0,,,3000000.0,-,22-Mar,3%,200000.0,-1%,1%,3.0,0,2.0,50.0,50.0,50.0,"Marketing,Advertising",Advertising
MTE5MzI3OVc=,2016,200000.0,,,300000.0,-,20-Jun,92%,-2000.0,-,-33%,1.0,0,6.0,2.29,2.29,88.57,Marketing,Advertising
MTIyMzY2M0E=,2017,200000.0,,,3000000.0,-,21-Dec,-5%,400000.0,-3%,-,4.0,0,2.0,20.0,50.0,80.0,Digital Marketing,Advertising
MTM5NzMzM00=,2020,1.0,,,,-,-,-,,-,-,1.0,0,1.0,100.0,100.0,100.0,"Saas,Digital Marketing",Advertising
MTM2NTg1MkE=,2020,1000.0,,,,-,20-Dec,-,-1000.0,23%,10%,1.0,0,2.0,8.0,50.0,92.0,"Social Media,Advertising,Public Relations",Advertising
MTIwMDYzOUQ=,2016,10000.0,,,100000.0,-,20-Dec,52%,-100000.0,-,-17%,1.0,0,2.0,49.0,50.0,51.0,"Marketing,Social Media,Content Marketing",Advertising
MTM4NjQ3M0Q=,2020,300000.0,,,600000.0,-,21-Oct,-,-5000.0,-25%,-25%,3.0,0,2.0,1.88,50.0,98.12,"Marketing,Printing,Graphic Design",Advertising
MTE1MjI2MVQ=,2015,100000.0,,,100000.0,-,20-Oct,-,-10000.0,-,-67%,,0,5.0,5.0,21.0,38.5,"Marketing,Media & Entertainment,Advertising",Advertising
NzUzNjc2WA==,2006,30000.0,,,700000.0,-,19-Dec,-,300000.0,-,-,1.0,0,2.0,0.0,50.0,100.0,"Advertising,Apps,Mobile",Advertising
MTI2ODAyOFc=,2018,300000.0,,,300000.0,-,20-Jun,-,,-,17%,2.0,0,4.0,22.0,22.0,34.0,Advertising,Advertising
MTEwNDQ4M0g=,2014,200000.0,,,1000000.0,-,21-Dec,86%,20000.0,17%,27%,1.0,0,2.0,10.0,50.0,90.0,"Marketing,Advertising",Advertising
OTE2MDUwSA==,2010,700000.0,1000000.0,400000.0,1000000.0,18-Nov,21-Dec,43%,40000.0,9%,-14%,1.0,0,3.0,19.95,30.0,50.05,"Advertising,Internet",Advertising
MTMwMTA3OFY=,2018,1.0,,,,-,-,-,,-,50%,,0,1.0,100.0,100.0,100.0,"Marketing,Information Technology,Web Design",Advertising
MTI4MzgyNUs=,2018,500000.0,2000000.0,500000.0,200000.0,20-Sep,19-Sep,-,-200000.0,-,-,1.0,1,4.0,20.68,24.12,31.08,"Marketing,Consulting",Advertising
MTIxNDgzM0Q=,2017,10000.0,,,200000.0,-,08-Dec,-,300.0,-,-,,0,1.0,100.0,100.0,100.0,"Marketing,Digital Marketing",Advertising
MTM1OTU3NUs=,2020,200000.0,,,100000.0,-,20-Dec,-,-40000.0,-,-,,0,4.0,5.0,15.7,63.6,"Design,Beauty,Fashion",Advertising
MTM3NjA5MEQ=,2020,10000.0,,,,-,-,-,,-,-,1.0,0,1.0,100.0,100.0,100.0,"Lifestyle,News",Advertising
OTI3MzI0SA==,2008,300000.0,,,900000.0,-,15-Dec,-,-700.0,-,-,2.0,0,5.0,10.0,20.0,40.0,"Marketing,Advertising",Advertising
MTE2MjA3N1g=,2015,200000.0,,,800000.0,-,21-Dec,-28%,-3000.0,-4%,9%,2.0,0,7.0,0.95,3.5,43.56,"Marketing,Advertising,Social Media Marketing",Advertising
NzYyNjY5Sw==,2007,9000.0,,,4000000.0,-,21-Dec,48%,-500000.0,-3%,-14%,2.0,0,1.0,100.0,100.0,100.0,"Marketing,Advertising,Content Marketing",Advertising
MTExNDQ2MVA=,2014,30000.0,,,200000.0,-,20-Dec,37%,9000.0,-,-,,0,3.0,20.0,40.0,40.0,"Marketing,App Marketing",Advertising
ODI3NDE5WA==,2008,30000.0,,,200000.0,-,14-Dec,-,5000.0,-,-,1.0,0,2.0,50.0,50.0,50.0,"Drones,Aerospace,Simulation",Aerospace & Defense
MTM2NzYwM0E=,2020,6000.0,,,20000.0,-,21-Jun,-,-2000.0,-,-,1.0,0,2.0,50.0,50.0,50.0,"Drones,Aerospace,Simulation",Aerospace & Defense
MTI3NTU2OU0=,2018,1.0,,,20000.0,-,21-Aug,-,-3000.0,-,-,1.0,0,4.0,8.0,20.0,52.0,"Saas,B2B",Aerospace & Defense
ODcyMTg4QQ==,2009,300000.0,,,300000.0,-,20-Dec,-28%,-80000.0,100%,86%,1.0,0,3.0,5.0,47.5,47.5,"Drones,Gps,Lidar,Satellite",Aerospace & Defense
MTA3NzI4M00=,2014,1000000.0,,,,-,18-Dec,-,-6000.0,-,-,1.0,0,,,,,"B2B,Engineering",Aerospace & Defense
MTIxMDg3Mlg=,2016,1.0,,,40000.0,-,19-Dec,-,20000.0,100%,100%,1.0,0,3.0,15.0,38.0,47.0,"Saas,Search Engine",Aerospace & Defense
MTQwMTM3M1U=,2021,20000000.0,10000000.0,6000000.0,,22-Oct,22-May,-,-3000000.0,-,-,1.0,1,15.0,0.05,2.5,39.7,"Aviation,Aerospace,Carrier",Aerospace & Defense
MTAyNzEwMlg=,2012,1.0,,,,-,20-Dec,-,-3000.0,-,-,1.0,0,2.0,15.0,50.0,85.0,"Aviation,Drones,Aerospace",Aerospace & Defense
MTE4MDY5NEs=,2016,200000.0,,,600000.0,-,18-Dec,-,-20000.0,-,13%,1.0,0,2.0,50.0,50.0,50.0,"Lifestyle,Fashion","Apparel, Accessories & Luxury Goods"
MTI3MzQ5MVU=,2018,9000.0,,,20000.0,-,21-Jun,-,3000.0,-,-,2.0,0,2.0,30.0,50.0,70.0,Shoes,"Apparel, Accessories & Luxury Goods"
NTUwNTIxVg==,2001,6000.0,,,70000.0,-,16-May,-,-6000.0,-,-,,0,2.0,50.0,50.0,50.0,Fashion,"Apparel, Accessories & Luxury Goods"
