,name_c,incorporated_date_c,total_funding_c,last_valuation_c,last_round_size_c,revenue_c,date_of_last_round,fy_end,revenue_growth,EBIT_c,employee_growth_6,employee_growth_12,num_founders,num_funding_rounds,num_shareholders,min_share,median_share,max_share,category,industry
1247,MTM2NjQxMEg=,2020,1000000.0,4000000.0,600000.0,60000.0,21-Jan,21-Apr,-,-600000.0,6%,21%,2.0,1,7.0,1.29,10.35,51.75,"E-Commerce,Automobile,Automotive,E-Commerce Platforms",Internet & Direct Marketing Retail
1248,MTE3NDc0Nlg=,2016,6000.0,,,3000.0,-,16-Dec,-,-40000.0,-,-,1.0,0,3.0,0.77,3.08,96.15,"E-Commerce,Retail,Women,Fashion",Internet & Direct Marketing Retail
1249,MTM3NTM5OFg=,2020,1.0,,,,-,21-Jul,-,-5000.0,-17%,400%,2.0,0,2.0,50.0,50.0,50.0,"Marketplace,E-Commerce,Internet",Internet & Direct Marketing Retail
1250,MTA1ODQ2NlU=,2013,100000.0,,,600000.0,-,21-Aug,47%,800.0,13%,-18%,,0,3.0,2.5,48.75,48.75,"E-Commerce,Retail,Fashion",Internet & Direct Marketing Retail
1251,MTAyMDU1MU0=,2012,3000000.0,1000000.0,200000.0,3000000.0,15-Apr,21-Dec,86%,-900000.0,-27%,-25%,3.0,1,4.0,11.2,20.05,48.71,E-Commerce,Internet & Direct Marketing Retail
1252,ODc1MjE3Vg==,2009,600000.0,600000.0,300000.0,70000.0,12-Feb,14-Dec,-,-100000.0,-,-,2.0,1,4.0,10.0,15.0,60.0,"E-Commerce,Lifestyle,Beauty,Fashion,Cosmetics",Internet & Direct Marketing Retail
1253,MTM3MTk2NVg=,2020,200000.0,,,,-,-,-,,-,-,1.0,0,3.0,16.67,33.33,50.0,"E-Commerce,Retail",Internet & Direct Marketing Retail
1254,MTM3NzU5OVQ=,2020,100000.0,,,,-,-,-,,-,-,1.0,0,2.0,50.0,50.0,50.0,"Retail,Online Portals",Internet & Direct Marketing Retail
1255,MTIzMDE3N00=,2017,400000.0,1000000.0,200000.0,200000.0,19-Dec,18-Dec,-,-200000.0,-,-,1.0,1,5.0,0.87,13.0,48.72,"E-Commerce,Books",Internet & Direct Marketing Retail
1256,NjIyODU4VA==,2003,300000.0,500000.0,100000.0,8000.0,17-Jul,21-Dec,97%,-70000.0,-,-,1.0,1,6.0,7.5,15.0,27.0,"Fintech,Online Portals",Internet & Direct Marketing Retail
1257,MTA1NDU0ME0=,2013,60000.0,,,700.0,-,21-Aug,-97%,-2000.0,-,-,,0,2.0,10.0,50.0,90.0,"E-Commerce,Travel,Internet",Internet & Direct Marketing Retail
1258,MTE2NDc5NE0=,2015,30000.0,,,10000.0,-,16-Dec,-,-20000.0,-,-,1.0,0,3.0,32.99,33.51,33.51,E-Commerce,Internet & Direct Marketing Retail
1259,NTE0NDA5RA==,2000,30000.0,,,600000.0,-,18-Jun,-,7000.0,-,-,1.0,0,2.0,20.0,50.0,80.0,"E-Commerce,Retail,Skincare",Internet & Direct Marketing Retail
